key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files,[]
rayyan-304195221,Principals’ experiences in the implementation of the English Language Proficiency Programme in Namibia,2020.0,1,1,,,,,,"Nekongo-Nielsen, H.N. and Ngololo, E.N.",,,,,"Purpose: Namibian principals are usually placed in leadership positions without orientation and are found to lack skills to supervise teachers in delivering instruction using the English language. Studies conducted elsewhere in the world found that effective school leadership is needed for the success of professional development programmes. The purpose of this paper is to explore principals’ lived experiences with regard to their roles in the implementation of the English Language Proficiency Programme (ELPP). Design/methodology/approach: This paper followed a qualitative inquiry with multiple case study designs to explore principals’ lived experiences during the implementation of the ELPP. Ten schools were selected for the analysis, two from each of the five regions. The schools were selected on the basis of remoteness, the total number of teachers who participated in the ELPP, school phases (i.e. primary and combined) and pre-test scores. Principals were interviewed using exploratory open-ended questions, and data analysis produced five categories under which the results were presented. Findings: The findings indicate that principals applied their individual logic to accommodate and implement the programme. They applied their individual productive leadership habitus to contextualise ELPP activities to ease their workload and appear corporative. Principals had significant influence on teacher learning and ensured successful implementation of a ministerial programme. Moreover, their leadership skills influenced the ways in which teachers received instruction and created a conducive learning environment. Owing to principals’ administrative, instructional and transformational leadership, many teachers participated and transcended upward and some were declared proficient in English. Research limitations/implications: This study research the effectiveness of leadership regarding English professional development programmes in achieving goals, explore power relations between school principals and education officials when developing and implementing professional development programmes and establish more efficient ways of providing a better leadership model for professional development programmes to achieve goals. Practical implications: This paper was limited to a few principals at rural schools in selected regions, therefore findings could not be generalised. Social implications: There is a need for creating opportunities for interactions among all stakeholders who are involved in the development and implementation of English proficiency programmes and to build power relations and work as a team to benefit schools. In order to enhance programme implementation and improve learning outcomes, there is also a need to provide feedback at intervals and find solutions to challenges as a team. Originality/value: Placing principals in situations without orientation triggered the need for specific leadership logic and particularities to be applied in a context for the success of the programme, which resulted in participation of more teachers in the ELPP. They applied their particularities and productive habitus through administrative, instructional and transformational leadership to enhance learning. Principals appointed English language teachers to instruct and mentor others, and consequently enabled some principals and teachers to exit the programme. Principals achieved these short wins upon realising that one has to cooperate with the authority to ensure achieving desired outcomes. © 2021 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195222,The impact of principal leadership on teacher motivation and performance: A mixed method approach,2019.0,1,1,,,,,,"Imron, A. and Djatmika, E.T. and Arifin, I.",,,,,"The Indonesian education system is confronted with low-quality teaching, which has manifested low Teacher Competency Test (UKG) scores and incompetency among teachers. In Banjarmasin City, the UKG score in 2016 was 62.73%, while, on average, the Teacher Performance Assessment (PKG) score was 49.148, which is 25.852 lower than the required minimum of 75.0. Existing literature has established the core role of school leadership in improving the quality of education offered in public institutions. The aim of the present investigation was to explore the synergistic impacts of principal's leadership approaches and teacher motivation on performance among high school teachers from three schools in Banjarmasin City, Indonesia. A qualitative research framework was adopted, which entailed the utilization of purposive sampling technique, semi-structured interviews, and thematic analysis to collect and analyze data. The findings suggest that in the selected institutions, principals have a direct influence on teacher motivation through the provision of supportive governance. In addition, school leadership indirectly shapes teacher performance through lobbying for equitable pay for their subordinates and ensuring access to teaching resources, which in turn influence teacher motivation levels. The findings through quantitative technique indicate a significant and positive influence of transformational leadership on teacher performance. © 2020 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195223,Transformational Leadership and Organizational Processes: Influencing Public Performance,2017.0,1,1,,,,,,"Sun, R. and Henderson, A.C.",,,,,"Leaders are essential actors in public performance improvement and organizational change. However, a key question has not been adequately addressed in prior literature on the topic: how do leadership processes make a difference? Using data on New York City public schools, this article explores the organizational mechanisms by which a specific form of principal's leadership—transformational leadership—influences objective organizational outcomes as measured by standardized test scores. The empirical results indicate that a principal's transformational leadership style affects student test scores through the mediating effects of purposeful performance information use and stakeholder engagement. © 2017 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195225,Relationship between high school principals' transformational leadership and psychological empowerment,2016.0,1,1,,,,,,"Ganjali, F. and Mehdinezhad, V.",,,,,"The main objective of this research is to explain the high school principal's relationship between transformational leadership with psychological empowerment. This is a descriptive and correlational study which was carried out on 103 principals of high school (51 females and 52 males). Sampling method included stratified sampling proportional to the size and simple random sampling. To collect the data, Bass and Avolio's Transformational Leadership and principal's psychological empowerment of Spreitzer were used. Analysis of survey data was done by calculating frequencies, percentages, means, standard deviations, correlation coefficient test and stepwise regression coefficient test. The results showed that among a series of seven transformational leadership factors except for leadership that is based on non-interference which is used at an average level, the principals use other factors including: inspirational motivation, idealized influence, intellectual stimulation, contingent reward, personal considerations and management by exception at a high level, respectively. In the case of psychological empowerment variable, the mean scores of principals at all dimensions were placed in the range of high. In this regard, the dimensions of meaning and concept, ability, job satisfaction, the selection and effect obtained the highest mean, respectively. The results also showed that there was a relatively significant positive relationship between idealized influence and inspirational motivation factors of transformational leadership and all aspects of psychological empowerment. In general, there was a significant relationship between the two variables (r = 0.382). Regression test showed that the two factors of inspirational motivation and idealized influence together could predict 23.4% of changes in the psychological empowerment of principals. © 2017 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195226,Increasing transformational leadership by developing leaders' information - Processing systems,2010.0,1,1,,,,,,"Cerni, T. and Curtis, G.J. and Colmar, S.",,,,,"According to the cognitive-experiential self theory (CEST), all behavior is guided by two informationprocessing systems: the rational system and the experiential. Previous research with school leaders has shown that the rational system and constructive elements of the experiential system have a strong positive relationship with transformational leadership, as outlined in the Full-Range Leadership Theory. This article reports a pretest, posttest study using an intervention and control group to test whether changes to CEST information-processing systems could bring about changes in transformational leadership. The results of a 10-week, individually delivered coaching intervention program with a small group of school principals showed that there was a significant increase in transformational leadership scores between the pretest and posttest for the intervention group, as rated by school staff. The control group remained unchanged. Qualitative results from interviews indicated that school principals in the intervention group became more aware and reflective about their leadership practice. This study yields initial evidence that increasing rational and constructive thinking can develop the use of transformational leadership techniques. © 2015 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195228,Transformational leadership and its relationship with socio-emotional and moral competencies in pre-service teachers,2023.0,1,1,,,,,,"Álamo, M. and Falla, D.",,,,,"Studies have shown that transformational leadership favours innovation, change and involvement towards improvement and problem solving, generating an atmosphere of respect and tolerance, it is considered ideal leadership in the educational sphere. Furthermore, socio-emotional and moral competences are essential for school leaders and teachers. However, there is a gap about what kind of socioemotional and moral competences can be related to a transformational leadership style in future teachers and that could be relevant information for university education, which is the purpose of this research. For this ex post facto quantitative survey research, a sample of 395 prospective teachers (81.3% female and 18.7% male) between 17 and 63 years of age (M = 21.08; SD = 3.49) was used. Statistical analyses included Student’s t-test and linear regressions. Results showed high scores in transformational leadership and a high degree of social-emotional and moral competencies. Significant gender differences were found, with girls having higher scores. Relationships were found between self-management and motivation, social awareness and prosocial behaviour, responsible decision-making and moral emotions with transformational leadership. The practical implications of these findings are discussed and concluded by pointing out the importance of working on and promoting. © 2023 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195230,Transformational partnerships: Translating research into practice through culturally competent evaluation practices in American Indian communities,2012.0,1,1,,,,,,"Mackey, H.J.",,,,,"Educational leaders have been held increasingly accountable for demonstrating significant gains in student achievement in the wake of education reform policies such as No Child Left Behind. This achievement is often defined as positive gains in attendance and test scores as discipline referrals and suspension numbers decrease. Socioeconomic and cultural contributions to student achievement are often relegated to secondary analyses, are used as deficit explanations when achievement is not increased, or are ignored completely. While this approach may give a snapshot of conditions at a given moment, it does not provide program evaluators with enough information to appropriately assess the implementation of interventions. This qualitative study examines the implementation and evaluation of a prosocial intervention in 10 schools serving American Indian families designed to reflect the culture of program participants and community stakeholders. Findings of the study demonstrate that the relationship between leadership and evaluation participants improved as they worked as partners rather than in isolation. Additionally, gains in prosocial student behavior were observed when traditional evaluation methods were suspended for more culturally appropriate methods that allowed for greater collaboration and timely modifications based on emerging research. © 2012 Copyright Taylor and Francis Group, LLC. © 2012 Elsevier B.V., All rights reserved.","",,"",,,"",""
rayyan-304195232,Engaging Stakeholders to Co-design an Academic Practice Strategic Plan in an Integrated Health System: The Key Roles of the Nurse Executive and Planning Team,2019.0,1,1,,,,,,"Jeffs, L. and Merkley, J. and Sinno, M. and Thomson, N. and Peladeau, N. and Richardson, S.",,,,,"As key members of the executive team, nurse executives play an integral role in the planning process and operationalization of strategic imperatives to ensure the overall success of the organization. Nurse executives are leading organizations through transition periods that require transformational leadership. Leaders must design a shared vision and set strategic priorities; empower others to lead; ensure access to resources needed for safe care delivery; and inspire people to meet the demands of the future. Paramount to effective strategic planning and achievement of positive outcomes is a leadership team that engages key stakeholders in the strategic planning process. This article provides an overview of a recently integrated health system's strategic planning process that included the engagement of patients and caregivers. This can serve as a blueprint for others in their efforts to implement a systematic approach for enhancing collaborative academic practice in their organizations. © 2019 Wolters Kluwer Health, Inc.","",,"",,,"",""
rayyan-304195233,Improving Verbal and Leadership Skills in Gifted Sixth Graders: An Intervention Evaluation in the United Arab Emirates,2025.0,1,1,,,,,,"Gharaibeh, M. and Alamarnih, E. and Gharaibeh, M.A.",,,,,"This study explores the unique potential of gifted sixth graders in Abu Dhabi, focusing on enhancing their verbal-linguistic intelligence and leadership skills through targeted educational interventions. Recognizing the critical need for specialized programs to support gifted students, this research employs a quasi-experimental design to evaluate the effectiveness of the Integrated Curriculum Model (ICM). Participants included sixth-grade students from two groups: an experimental group receiving the ICM intervention and a control group following the standard curriculum. We collected data using structured questionnaires and analyzed the results using mean, standard deviation, and t-tests to determine statistically significant differences between the groups. Findings revealed that the experimental group showed significantly higher improvements in both verbal-linguistic intelligence and leadership skills compared to the control group, with a significance level of.05. These results underscore the importance of tailored educational strategies in unlocking the full potential of gifted students. The study’s theoretical implications highlight the applicability of Gardner’s Theory of Multiple Intelligences and Burns’ Transformational Leadership Theory in educational settings. Practically, the findings provide valuable insights for educators, policymakers, and parents on the benefits of specialized programs for gifted students, suggesting that such interventions can also positively impact typically developing children. Future research should continue to explore and refine these educational strategies to further support the development of gifted students. © 2025 Common Ground Research Networks. All rights reserved.","",,"",,,"",""
rayyan-304195241,Research vs. practice on manufacturing firms’ servitization strategies: A gap analysis and research agenda,2017.0,1,1,,,,,,"Perona, M. and Saccani, N. and Bacchetti, A.",,,,,"Servitization in the manufacturing industry implies a shift from an offer based mainly on standard goods, to a wider value proposition composed of solutions aimed at solving specific customers’ problems, obtained by integrating tangible and intangible elements. The purpose of this paper is to investigate the servitization strategies of manufacturing firms, more specifically about: (i) how manufacturing companies move toward servitization (servitization pattern); (ii) how they achieve the capabilities needed; and (iii) which factors enable this transition. We did so by comparing the state of the art of academic research with a qualified sample of case studies of global companies that famously improved their competitiveness by shifting from products to solutions. The results show some gaps between research and practice, concerning in particular: the impact (either transformational or integrative) of servitization on the manufacturing organization; the role of financial resources in shaping the capability achievement strategy, particularly for external acquisitions, and; the role of servitization enablers poorly considered by the extant literature, such as time, leadership and continuity, operational excellence and digital technologies. These findings lead to the definition of seven formalized research directions, thus outlining an agenda for future research. © 2017 by the authors. Licensee MDPI, Basel, Switzerland.","",,"",,,"",""
rayyan-304195244,Transformational and Passive Leadership: An Initial Investigation of University Instructors as Leaders in a Virtual Learning Environment,2013.0,1,1,,,,,,"Bogler, R. and Caspi, A. and Roccas, S.",,,,,"The study investigated whether students perceive their university instructors in a virtual learning environment as leaders. Referring to the full range leadership theory (FRLT), we examined the effects of transformational and passive leadership styles of university instructors on students' satisfaction and learning outcomes. Completed web-based questionnaires were obtained from 1270 students who enrolled in large academic courses led by instructors in web-based instructional environments. Data analyses confirmed the validity of the multifactor leadership questionnaire (MLQ) in the virtual asynchronous communication setting with three second-order factors model composed of transformational, active management-by-exception and passive leadership. Leadership styles correlated with student satisfaction: the more the students attributed transformational leadership style to the instructor and the less they attributed a passive leadership style, the more satisfied they were. The attributed leadership style was not related to the actual participation of the students in the virtual discussions or to their academic achievements. The findings suggest that subordinates' satisfaction might be tied more strongly to their perception of the leader than to the actual tangible benefits the leader can provide. Moreover, the study shows that the FRLT is applied to the asynchronous, web-based, instructional environment which is being increasingly adopted in higher education institutions. © The Author(s) 2013.","",,"",,,"",""
rayyan-304195246,Transformational leadership takes Majan to the top of the class: College wins string of prizes for good business practice,2008.0,1,1,,,,,,"Albulushi, A. and Hussain, S.",,,,,"Purpose - This paper aims to detail the human resource management practices that have helped Majan College, Oman, to win a string of prizes for total quality management. Design/methodology/approach - The paper outlines the characteristics of four main leadership styles - transformational, authoritarian, participative and delegative - and describes the benefits the college has gained by, in the main, practicing transformational leadership. Findings - The paper shows that, when transformational leadership is practiced, team members believe that their leaders care about them as people, rather than as a means to an end; leaders pay close attention to team members' need for achievement and personal growth, creating an environment in which team members feel that they are pursuing meaningful goals; and leaders gain credibility and respect by ""walking the talk"". Practical implications - The paper provides useful information on the advantages and disadvantages of various leadership styles, when practiced in an academic environment. Originality/value - The paper reveals that other leadership styles also have their part to play. In particular, authoritarian leadership can help when there is an urgent need to: ensure tasks are completed on time and within the financial budget; meet accreditation and quality requirements; and meet student needs. © Emerald Group Publishing Limited.","",,"",,,"",""
rayyan-304195250,Need to reform education in graduate schools of public health in Japan: Toward outcome-based education to cultivate competencies,2016.0,1,1,,,,,,"Inoue, M. and Yano, E.",,,,,"Japan, known for its good healthcare access via universal health insurance, leads the world in terms of life expectancy, and possesses a public health system that has improved health standards markedly in the 20th century. However, we currently face major challenges to maintain and promote people's health. Although these complicated problems pose numerous threats to public welfare, education of public health for health professionals still retains 20th-century standards. This also means that graduate education of public health in Japan is traditionally based on obtaining licensure as a medical professional, conducting research and writing papers, and on-the-job training. Since graduate school education is expected to produce competent public health leaders, Japan requires a reform toward a new education design that caters to the current societal needs. The current global trend in the education of health professionals leans toward outcome-based education to meet core competencies. Here, ""competency"" refers to a set of features or particular behavioral patterns possessed by highly qualified persons. In 2006, the World Health Organization (WHO) established a general health professional competency standard that includes both management and leadership competencies. Moreover, the Lancet Commission concluded that there was a need for transformative education based on a ""health system approach."" In brief, this means that our education should correspond to the needs of the health system to allow for the resolution of problems by educated professionals with satisfactory levels of competencies. In addition, as ""change agents,"" these competent professionals are expected to promote societal change toward the realization of better public health. In Japan, the Central Education Council has produced several reports on professional graduate school reform since 2000. These reports indicate that graduate school curricula require reform to allow the health professionals to work locally and globally, as well as to solve problems through the application of systematic knowledge that matches practice with theory. Therefore, with reference to the current Japanese health situation, global trends in education, and the Japanese educational policies, transformational changes are needed toward a new era of Japanese public health education specifically through outcome-based education to improve the health professionals competencies. We hope that education in the new schools of public health will contribute to solve authentic public health problems and create a healthy future with competent professionals.","",,"",,,"",""
rayyan-304195251,A framework for evaluating and continuously improving the NCHL transformational leadership initiative. National Center for Healthcare Leadership.,2002.0,1,1,,,,,,"Davidson, P.L. and Calhoun, J.G. and Sinioris, M.E. and Griffith, J.R.",,,,,"The National Center for Healthcare Leadership transformational leadership project is a broad and ambitious initiative that seeks to bring to the table top leaders from industry and academe. Their charge is to accomplish nothing short of resetting the course for health management education and practice in the coming decades. Four councils were recruited to launch the four major interventions: (1) recruitment and diversity, (2) core competencies, (3) the advanced learning institute, and (4) accreditation and certification. After describing intervention goals, we provide examples of baseline measures for tracking educational and performance outcomes longitudinally. We believe this transformation is only beginning, and it will take many years or decades. The transformation will be most successful if it is guided by data and systematic evaluation.","",,"",,,"",""
